,pic idx,memorability,valance
0,20101,0.9523809523809523,negative
1,20102,0.8695652173913043,negative
2,20103,0.7222222222222222,negative
3,20104,0.42105263157894735,negative
4,20105,1.0,negative
5,20106,0.9565217391304348,negative
6,20107,0.9523809523809523,negative
7,20108,0.85,negative
8,20109,0.85,negative
9,20110,0.8,negative
10,20111,0.9545454545454546,negative
11,20112,0.8125,negative
12,20113,1.0,negative
13,20114,0.7619047619047619,negative
14,20115,0.8,negative
15,20116,0.8095238095238095,negative
16,20117,1.0,negative
17,20118,0.9375,negative
18,20119,0.8888888888888888,negative
19,20120,0.8636363636363636,negative
20,20121,0.8181818181818182,negative
21,20122,0.5217391304347826,negative
22,20123,0.5217391304347826,negative
23,20124,0.75,negative
24,20125,0.8571428571428571,negative
25,20126,0.8666666666666667,negative
26,20127,0.5454545454545454,negative
27,20128,0.8571428571428571,negative
28,20129,0.5,negative
29,20130,0.8571428571428571,negative
30,20131,0.8421052631578947,negative
31,20132,0.5416666666666666,negative
32,20133,0.631578947368421,negative
33,20134,0.9545454545454546,negative
34,20135,0.8421052631578947,negative
35,20136,0.8947368421052632,negative
36,20137,0.9545454545454546,negative
37,20138,0.8461538461538461,negative
38,20139,0.9333333333333333,negative
39,20140,0.9444444444444444,negative
40,20141,0.3333333333333333,negative
41,20142,0.7619047619047619,negative
42,20143,0.8571428571428571,negative
43,20144,1.0,negative
44,20145,1.0,negative
45,20146,0.9583333333333334,negative
46,20147,0.8695652173913043,negative
47,20148,0.42857142857142855,negative
48,20149,0.75,negative
49,20150,0.8,negative
50,20151,0.9047619047619048,negative
51,20152,1.0,negative
52,20153,0.9,negative
53,20154,0.5,negative
54,20155,0.8695652173913043,negative
55,20156,0.7391304347826086,negative
56,20157,0.8333333333333334,negative
57,20158,0.5714285714285714,negative
58,20159,0.7647058823529411,negative
59,20160,0.75,negative
60,20161,0.7,negative
61,20162,0.7619047619047619,negative
62,20163,1.0,negative
63,20164,0.9,negative
64,20201,0.7619047619047619,negative
65,20202,0.5789473684210527,negative
66,20203,0.9583333333333334,negative
67,20204,0.9130434782608695,negative
68,20205,0.75,negative
69,20206,0.8421052631578947,negative
70,20207,1.0,negative
71,20208,0.7272727272727273,negative
72,20209,0.6818181818181818,negative
73,20210,0.8823529411764706,negative
74,20211,0.8,negative
75,20212,0.9615384615384616,negative
76,20213,0.9523809523809523,negative
77,20214,0.6190476190476191,negative
78,20215,0.5909090909090909,negative
79,20216,0.9523809523809523,negative
80,20217,0.9,negative
81,20218,0.8846153846153846,negative
82,20219,0.5833333333333334,negative
83,20220,0.75,negative
84,20221,0.8,negative
85,20222,0.5789473684210527,negative
86,20223,0.631578947368421,negative
87,20224,0.7727272727272727,negative
88,20225,0.7142857142857143,negative
89,20226,0.7037037037037037,negative
90,20227,0.55,negative
91,20228,0.6190476190476191,negative
92,20229,0.8928571428571429,negative
93,20230,0.7142857142857143,negative
94,20231,1.0,negative
95,20232,0.7222222222222222,negative
96,20233,0.8695652173913043,negative
97,20234,0.75,negative
98,20235,0.8260869565217391,negative
99,20236,0.8260869565217391,negative
100,20237,0.65,negative
101,20238,0.75,negative
102,20239,1.0,negative
103,20240,0.9583333333333334,negative
104,20241,0.6666666666666666,negative
105,20242,0.8095238095238095,negative
106,20243,0.6428571428571429,negative
107,20244,0.84,negative
108,20245,0.9230769230769231,negative
109,20246,0.7222222222222222,negative
110,20247,0.631578947368421,negative
111,20248,0.7142857142857143,negative
112,20249,1.0,negative
113,20250,0.8518518518518519,negative
114,20251,0.9047619047619048,negative
115,20252,0.7727272727272727,negative
116,20253,0.8181818181818182,negative
117,20254,0.5454545454545454,negative
118,20255,0.3684210526315789,negative
119,20256,0.8947368421052632,negative
120,20257,0.375,negative
121,20258,0.5714285714285714,negative
122,20259,0.36,negative
123,20260,0.5454545454545454,negative
124,20261,0.8181818181818182,negative
125,20262,0.8571428571428571,negative
126,20263,0.88,negative
127,20264,0.9545454545454546,negative
128,10101,0.4,neutral
129,10102,0.6875,neutral
130,10103,0.35294117647058826,neutral
131,10104,0.6666666666666666,neutral
132,10105,0.5,neutral
133,10106,0.8421052631578947,neutral
134,10107,0.5652173913043478,neutral
135,10108,0.6,neutral
136,10109,0.4,neutral
137,10110,0.5238095238095238,neutral
138,10111,0.7619047619047619,neutral
139,10112,0.6363636363636364,neutral
140,10113,0.7368421052631579,neutral
141,10114,0.5555555555555556,neutral
142,10115,0.47619047619047616,neutral
143,10116,0.7727272727272727,neutral
144,10117,0.631578947368421,neutral
145,10118,0.5416666666666666,neutral
146,10119,0.625,neutral
147,10120,0.7619047619047619,neutral
148,10121,0.6818181818181818,neutral
149,10122,0.6190476190476191,neutral
150,10123,0.8421052631578947,neutral
151,10124,0.47619047619047616,neutral
152,10125,0.8,neutral
153,10126,0.9333333333333333,neutral
154,10127,0.5,neutral
155,10128,0.8095238095238095,neutral
156,10129,0.6666666666666666,neutral
157,10130,0.5625,neutral
158,10131,0.68,neutral
159,10132,0.8571428571428571,neutral
160,10133,0.7142857142857143,neutral
