,pic idx,memorability,valance
161,10134,0.5263157894736842,neutral
162,10135,0.6190476190476191,neutral
163,10136,0.7272727272727273,neutral
164,10137,0.7368421052631579,neutral
165,10138,0.5909090909090909,neutral
166,10139,0.7142857142857143,neutral
167,10140,0.7058823529411765,neutral
168,10141,0.5454545454545454,neutral
169,10142,0.7391304347826086,neutral
170,10143,0.72,neutral
171,10144,0.35,neutral
172,10145,0.5909090909090909,neutral
173,10146,0.8181818181818182,neutral
174,10147,0.631578947368421,neutral
175,10148,0.5714285714285714,neutral
176,10149,0.2727272727272727,neutral
177,10150,0.4,neutral
178,10151,0.625,neutral
179,10152,0.5217391304347826,neutral
180,10153,0.43478260869565216,neutral
181,10154,0.5263157894736842,neutral
182,10155,0.55,neutral
183,10156,0.6666666666666666,neutral
184,10157,0.5416666666666666,neutral
185,10158,0.6842105263157895,neutral
186,10159,0.76,neutral
187,10160,0.21052631578947367,neutral
188,10161,0.7,neutral
189,10162,0.7307692307692307,neutral
190,10163,0.8947368421052632,neutral
191,10164,0.9,neutral
192,10201,0.7,neutral
193,10202,0.7916666666666666,neutral
194,10203,0.6086956521739131,neutral
195,10204,0.8421052631578947,neutral
196,10205,0.75,neutral
197,10206,0.6190476190476191,neutral
198,10207,0.6470588235294118,neutral
199,10208,0.8,neutral
200,10209,0.9333333333333333,neutral
201,10210,0.5263157894736842,neutral
202,10211,0.8947368421052632,neutral
203,10212,0.5,neutral
204,10213,0.3333333333333333,neutral
205,10214,0.6818181818181818,neutral
206,10215,0.5263157894736842,neutral
207,10216,0.6111111111111112,neutral
208,10217,0.7619047619047619,neutral
209,10218,0.6875,neutral
210,10219,0.625,neutral
211,10220,0.5263157894736842,neutral
212,10221,0.5555555555555556,neutral
213,10222,0.7894736842105263,neutral
214,10223,0.7142857142857143,neutral
215,10224,0.5263157894736842,neutral
216,10225,0.75,neutral
217,10226,0.56,neutral
218,10227,0.9444444444444444,neutral
219,10228,0.8421052631578947,neutral
220,10229,0.7272727272727273,neutral
221,10230,0.5416666666666666,neutral
222,10231,0.4,neutral
223,10232,0.5263157894736842,neutral
224,10233,0.7894736842105263,neutral
225,10234,0.7142857142857143,neutral
226,10235,0.7894736842105263,neutral
227,10236,0.6111111111111112,neutral
228,10237,0.47619047619047616,neutral
229,10238,0.6111111111111112,neutral
230,10239,0.6842105263157895,neutral
231,10240,0.6086956521739131,neutral
232,10241,0.5,neutral
233,10242,0.7647058823529411,neutral
234,10243,0.4666666666666667,neutral
235,10244,0.8,neutral
236,10245,0.6111111111111112,neutral
237,10246,0.3333333333333333,neutral
238,10247,0.7619047619047619,neutral
239,10248,0.3684210526315789,neutral
240,10249,0.9444444444444444,neutral
241,10250,0.56,neutral
242,10251,0.5625,neutral
243,10252,0.5294117647058824,neutral
244,10253,0.8235294117647058,neutral
245,10254,0.7142857142857143,neutral
246,10255,0.75,neutral
247,10256,0.7142857142857143,neutral
248,10257,0.6875,neutral
249,10258,0.7619047619047619,neutral
250,10259,0.6,neutral
251,10260,0.7619047619047619,neutral
252,10261,0.8,neutral
253,10262,1.0,neutral
254,10263,0.8571428571428571,neutral
255,10264,0.9,neutral
