Subject number,Word recall result day 1,Study words
19,1,'מדבקה'
19,1,'דפדפת'
19,1,'מכתבה'
19,0,'מכנס'
19,0,'דיג'
20,1,'כיסא'
20,0,'שליח'
20,0,'מקלדת'
20,0,'כתר'
20,1,'ביצה'
20,1,'דפדפת'
20,0,'קלסר'
20,1,'תירס'
20,0,'שמפו'
20,1,'שלט'
20,0,'רמקול'
20,0,'מכתבה'
20,0,'מדבקה'
20,0,'דיג'
20,0,'עגלה'
20,0,'גבעה'
20,0,'כובע'
20,0,'עציץ'
20,0,'מחק'
20,0,'מדרכה'
20,0,'מלתחה'
20,0,'דגן'
20,0,'ארון'
20,0,'חמאה'
20,1,'דגל'
20,0,'מדשאה'
20,0,'מכללה'
20,0,'חליל'
20,0,'מכנס'
20,0,'שדכן'
20,0,'מכולת'
20,1,'בלון'
21,1,'מדרכה'
21,0,'מדבקה'
21,1,'ביצה'
21,0,'מכללה'
21,1,'שלט'
21,0,'עציץ'
21,0,'תירס'
21,0,'מחק'
21,0,'שליח'
21,1,'דפדפת'
21,0,'מלתחה'
21,0,'כובע'
21,0,'מכנס'
21,0,'גבעה'
21,0,'דגן'
21,0,'שדכן'
21,1,'מכתבה'
21,1,'מקלדת'
21,0,'כיסא'
21,0,'חמאה'
21,0,'דיג'
21,0,'מכולת'
21,0,'שמפו'
21,1,'דגל'
21,1,'בלון'
21,1,'כתר'
21,1,'ארון'
21,1,'קלסר'
21,1,'מדשאה'
21,0,'רמקול'
21,0,'עגלה'
21,0,'חליל'
22,1,'גבעה'
22,0,'מקלדת'
22,1,'חמאה'
22,0,'מכנס'
22,1,'מדבקה'
22,1,'כתר'
22,0,'מדשאה'
22,1,'מכתבה'
22,1,'עציץ'
22,0,'ביצה'
22,0,'חליל'
22,1,'מחק'
22,0,'קלסר'
22,1,'כיסא'
22,1,'שלט'
22,0,'רמקול'
22,1,'דפדפת'
22,1,'מלתחה'
22,0,'דיג'
22,0,'כובע'
22,0,'שמפו'
22,0,'עגלה'
22,1,'מכללה'
22,0,'בלון'
22,1,'דגן'
22,0,'שדכן'
22,0,'מכולת'
22,0,'שליח'
22,0,'דגל'
22,0,'תירס'
22,1,'ארון'
22,0,'מדרכה'
23,0,'בלון'
23,1,'דגן'
23,1,'מדרכה'
23,1,'מלתחה'
