Subject number,Word recall result day 1,Study words
3,0,'עגלה'
3,0,'מלתחה'
3,0,'מכולת'
3,1,'כיסא'
3,1,'מכללה'
3,1,'תירס'
3,0,'מדרכה'
3,0,'חמאה'
3,0,'דיג'
3,0,'שמפו'
3,0,'ארון'
3,1,'דגן'
3,0,'דגל'
3,0,'שדכן'
3,0,'מדשאה'
3,0,'גבעה'
3,1,'רמקול'
3,1,'עציץ'
3,0,'שלט'
3,1,'מכנס'
3,0,'קלסר'
3,1,'כתר'
3,0,'מכתבה'
3,1,'כובע'
3,1,'בלון'
3,0,'מחק'
3,0,'מקלדת'
3,1,'חליל'
3,1,'מדבקה'
3,0,'ביצה'
3,0,'דפדפת'
3,0,'שליח'
4,1,'קלסר'
4,1,'מלתחה'
4,1,'תירס'
4,0,'מכנס'
4,0,'מכולת'
4,1,'מדרכה'
4,1,'מדשאה'
4,1,'דגל'
4,0,'שליח'
4,0,'כיסא'
4,0,'מחק'
4,0,'דגן'
4,0,'מקלדת'
4,0,'ביצה'
4,0,'שמפו'
4,0,'בלון'
4,0,'רמקול'
4,0,'חמאה'
4,0,'עגלה'
4,0,'שלט'
4,0,'דפדפת'
4,0,'עציץ'
4,0,'כתר'
4,0,'כובע'
4,0,'גבעה'
4,1,'מכתבה'
4,0,'ארון'
4,0,'חליל'
4,0,'דיג'
4,0,'מדבקה'
4,0,'מכללה'
4,0,'שדכן'
5,1,'גבעה'
5,0,'דיג'
5,0,'מדבקה'
5,0,'מדרכה'
5,0,'מכללה'
5,0,'חמאה'
5,0,'דגל'
5,1,'שדכן'
5,0,'ביצה'
5,0,'כובע'
5,0,'שמפו'
5,0,'מכתבה'
5,0,'תירס'
5,1,'דפדפת'
5,0,'כתר'
5,0,'עגלה'
5,1,'חליל'
5,0,'שליח'
5,1,'מדשאה'
5,1,'מקלדת'
5,1,'מחק'
5,0,'דגן'
5,0,'שלט'
5,0,'כיסא'
5,0,'מלתחה'
5,0,'עציץ'
5,1,'קלסר'
5,1,'מכולת'
5,0,'מכנס'
5,0,'בלון'
5,0,'רמקול'
5,0,'ארון'
6,1,'ביצה'
6,1,'דיג'
6,1,'עגלה'
6,0,'שליח'
6,1,'מכולת'
6,1,'מכתבה'
6,0,'חליל'
6,0,'עציץ'
6,0,'קלסר'
6,1,'כיסא'
6,0,'מדרכה'
6,1,'מדשאה'
6,0,'דגן'
6,0,'גבעה'
6,0,'מכללה'
6,0,'דגל'
6,1,'תירס'
6,1,'מדבקה'
6,1,'בלון'
6,0,'כובע'
6,0,'שדכן'
6,0,'מלתחה'
6,0,'רמקול'
6,1,'חמאה'
6,0,'ארון'
6,0,'מחק'
6,0,'כתר'
6,0,'דפדפת'
6,0,'מכנס'
6,0,'שמפו'
6,0,'שלט'
6,1,'מקלדת'
7,1,'שמפו'
7,1,'מקלדת'
7,1,'תירס'
7,0,'כובע'
7,0,'כתר'
7,1,'מכולת'
7,0,'עגלה'
7,1,'בלון'
7,0,'שלט'
7,1,'ביצה'
7,1,'מכתבה'
7,1,'שדכן'
7,1,'שליח'
7,0,'מדשאה'
7,0,'דיג'
7,0,'רמקול'
7,1,'מלתחה'
7,1,'ארון'
7,0,'חליל'
7,1,'גבעה'
7,1,'מדרכה'
7,1,'עציץ'
7,0,'חמאה'
7,1,'דגן'
7,0,'מחק'
7,0,'מדבקה'
7,1,'דפדפת'
7,0,'קלסר'
7,0,'כיסא'
7,0,'דגל'
7,0,'מכנס'
7,1,'מכללה'
8,0,'עציץ'
8,0,'רמקול'
8,1,'חמאה'
8,0,'עגלה'
8,0,'חליל'
8,0,'כיסא'
8,0,'דפדפת'
8,1,'ארון'
8,1,'בלון'
8,1,'שדכן'
8,1,'דגל'
8,0,'מקלדת'
8,0,'דגן'
8,0,'מכולת'
8,0,'דיג'
8,1,'מכתבה'
8,1,'מלתחה'
8,1,'מכנס'
8,0,'מכללה'
8,1,'מדשאה'
8,1,'מחק'
8,0,'ביצה'
8,0,'קלסר'
8,0,'כתר'
8,1,'כובע'
8,0,'מדרכה'
8,0,'גבעה'
8,0,'מדבקה'
8,1,'תירס'
8,0,'שמפו'
8,1,'שלט'
8,0,'שליח'
9,1,'מכתבה'
9,1,'שדכן'
9,0,'שליח'
9,0,'עציץ'
9,1,'שלט'
9,1,'מקלדת'
9,1,'מחק'
9,1,'מכנס'
9,0,'כובע'
9,0,'חליל'
9,1,'דגן'
9,1,'מדשאה'
9,0,'ארון'
9,1,'מדרכה'
9,0,'גבעה'
9,0,'מכולת'
9,0,'רמקול'
9,0,'מכללה'
9,1,'דפדפת'
9,0,'מדבקה'
9,1,'דיג'
9,1,'כתר'
9,1,'עגלה'
9,1,'קלסר'
9,1,'בלון'
9,0,'דגל'
9,0,'שמפו'
9,0,'מלתחה'
9,1,'ביצה'
9,0,'כיסא'
9,0,'תירס'
9,0,'חמאה'
10,1,'שדכן'
10,0,'תירס'
10,1,'עציץ'
10,1,'דגל'
10,0,'שליח'
10,1,'מכללה'
10,1,'דיג'
10,1,'דגן'
10,1,'דפדפת'
10,1,'מכולת'
10,0,'מדרכה'
10,1,'כובע'
10,0,'גבעה'
10,1,'מלתחה'
10,1,'מכנס'
10,1,'ביצה'
10,0,'שלט'
10,0,'כיסא'
10,0,'חמאה'
10,0,'שמפו'
10,0,'כתר'
10,0,'מדבקה'
10,1,'מדשאה'
10,0,'רמקול'
10,1,'מכתבה'
10,0,'קלסר'
10,0,'עגלה'
10,0,'מחק'
10,1,'ארון'
10,0,'מקלדת'
10,0,'חליל'
10,0,'בלון'
11,1,'תירס'
11,1,'מכללה'
11,0,'שלט'
11,0,'דיג'
11,0,'רמקול'
11,1,'חמאה'
11,0,'דפדפת'
11,0,'שמפו'
11,1,'ארון'
11,0,'קלסר'
11,0,'גבעה'
11,0,'מכתבה'
11,0,'מדבקה'
11,0,'מכנס'
11,0,'כיסא'
11,0,'כתר'
11,1,'שדכן'
11,1,'מקלדת'
11,1,'מלתחה'
11,0,'מדרכה'
11,1,'מדשאה'
11,1,'בלון'
11,0,'דגל'
11,0,'ביצה'
11,0,'עגלה'
11,1,'דגן'
11,0,'שליח'
11,0,'מכולת'
11,0,'כובע'
11,1,'עציץ'
11,0,'חליל'
11,0,'מחק'
14,1,'דגן'
14,1,'כובע'
14,1,'מלתחה'
14,0,'מקלדת'
14,1,'ארון'
14,0,'דגל'
14,0,'מדבקה'
14,0,'עציץ'
14,0,'קלסר'
14,0,'מחק'
14,1,'תירס'
14,0,'בלון'
14,0,'חמאה'
14,0,'מדרכה'
14,0,'עגלה'
14,0,'דפדפת'
14,0,'שמפו'
14,0,'רמקול'
14,0,'מכולת'
14,1,'מכתבה'
14,1,'מדשאה'
14,0,'חליל'
14,0,'שלט'
14,0,'שדכן'
14,0,'שליח'
14,0,'דיג'
14,0,'מכנס'
14,1,'כיסא'
14,0,'ביצה'
14,0,'כתר'
14,0,'מכללה'
14,0,'גבעה'
15,1,'מקלדת'
15,0,'מדרכה'
15,1,'קלסר'
15,1,'גבעה'
15,0,'עגלה'
15,0,'מכולת'
15,0,'כתר'
15,0,'ארון'
15,0,'מלתחה'
15,0,'חמאה'
15,0,'שלט'
15,0,'שמפו'
15,0,'כובע'
15,0,'מחק'
15,0,'חליל'
15,1,'דפדפת'
15,1,'שליח'
15,1,'רמקול'
15,1,'מדשאה'
15,0,'מכתבה'
15,0,'מכללה'
15,1,'דגן'
15,1,'תירס'
15,0,'שדכן'
15,0,'בלון'
15,1,'דגל'
15,0,'עציץ'
15,1,'מכנס'
15,1,'ביצה'
15,0,'כיסא'
15,1,'דיג'
15,0,'מדבקה'
16,0,'דיג'
16,0,'מכנס'
16,0,'ביצה'
16,1,'מכתבה'
16,0,'מכולת'
16,0,'כובע'
16,0,'עציץ'
16,0,'דפדפת'
16,0,'מקלדת'
16,0,'חליל'
16,0,'מדרכה'
16,0,'דגן'
16,0,'קלסר'
16,0,'דגל'
16,0,'בלון'
16,0,'שליח'
16,0,'כתר'
16,1,'גבעה'
16,0,'מדשאה'
16,1,'ארון'
16,1,'שדכן'
16,1,'שלט'
16,0,'מכללה'
16,0,'רמקול'
16,0,'עגלה'
16,0,'מדבקה'
16,1,'כיסא'
16,0,'חמאה'
16,0,'מחק'
16,0,'מלתחה'
16,0,'תירס'
16,0,'שמפו'
17,1,'קלסר'
17,1,'חמאה'
17,1,'דגל'
17,1,'כתר'
17,1,'עגלה'
17,1,'מדרכה'
17,1,'מכתבה'
17,1,'שמפו'
17,1,'חליל'
17,1,'ארון'
17,1,'מחק'
17,1,'בלון'
17,1,'מדבקה'
17,1,'מדשאה'
17,1,'כיסא'
17,1,'מכללה'
17,1,'שדכן'
17,1,'ביצה'
17,1,'גבעה'
17,1,'דפדפת'
17,1,'דגן'
17,0,'מקלדת'
17,1,'דיג'
17,1,'תירס'
17,1,'שליח'
17,1,'כובע'
17,0,'מכנס'
17,1,'שלט'
17,1,'רמקול'
17,1,'עציץ'
17,1,'מלתחה'
17,1,'מכולת'
18,0,'ארון'
18,0,'רמקול'
18,0,'בלון'
18,0,'דיג'
18,0,'מכנס'
18,0,'קלסר'
18,0,'מדשאה'
18,0,'מכתבה'
18,0,'שמפו'
18,0,'תירס'
18,1,'מדבקה'
18,0,'דגל'
18,0,'שליח'
18,0,'מכללה'
18,1,'דגן'
18,0,'כובע'
18,1,'עגלה'
18,1,'חליל'
18,1,'מכולת'
18,0,'חמאה'
18,0,'כיסא'
18,1,'גבעה'
18,1,'שלט'
18,1,'כתר'
18,0,'שדכן'
18,0,'מלתחה'
18,1,'מקלדת'
18,0,'דפדפת'
18,1,'ביצה'
18,1,'מחק'
18,1,'עציץ'
18,1,'מדרכה'
19,1,'דיג'
19,1,'מכנס'
19,1,'מכתבה'
19,1,'שלט'
19,1,'רמקול'
19,1,'גבעה'
19,1,'עציץ'
19,1,'תירס'
19,0,'מדשאה'
19,0,'מקלדת'
19,1,'קלסר'
19,1,'ארון'
19,1,'מכולת'
19,1,'כיסא'
19,1,'דגן'
19,1,'שליח'
19,1,'מכללה'
19,1,'מחק'
19,1,'בלון'
19,0,'כובע'
19,1,'עגלה'
19,1,'מלתחה'
19,1,'שמפו'
19,1,'כתר'
19,0,'דפדפת'
19,0,'חליל'
19,0,'מדרכה'
19,0,'מדבקה'
19,1,'חמאה'
19,1,'דגל'
19,1,'ביצה'
19,1,'שדכן'
20,0,'כובע'
20,1,'חמאה'
20,0,'שדכן'
20,0,'ארון'
20,1,'תירס'
20,0,'דפדפת'
20,0,'שמפו'
20,0,'דגל'
20,0,'דגן'
20,0,'מכללה'
20,1,'מחק'
20,0,'עגלה'
20,0,'מדרכה'
20,0,'מכולת'
20,1,'מלתחה'
20,0,'גבעה'
20,1,'שליח'
20,0,'ביצה'
20,1,'שלט'
20,0,'חליל'
20,0,'מדבקה'
20,0,'עציץ'
20,0,'קלסר'
20,0,'דיג'
20,1,'מכתבה'
20,0,'כיסא'
20,0,'מדשאה'
20,0,'מכנס'
20,0,'בלון'
20,0,'כתר'
20,0,'מקלדת'
20,0,'רמקול'
21,0,'דפדפת'
21,0,'גבעה'
21,0,'חמאה'
21,0,'עגלה'
21,0,'מדבקה'
21,0,'מחק'
21,0,'רמקול'
21,0,'דגן'
21,0,'מכתבה'
21,0,'שלט'
21,1,'כיסא'
21,0,'עציץ'
21,0,'תירס'
21,1,'ארון'
21,0,'שדכן'
21,0,'מקלדת'
21,1,'חליל'
21,1,'מדשאה'
21,0,'ביצה'
21,0,'כתר'
21,0,'שמפו'
21,0,'שליח'
21,0,'כובע'
21,0,'מכנס'
21,0,'בלון'
21,0,'מדרכה'
21,0,'מכולת'
21,0,'דיג'
21,0,'קלסר'
21,1,'דגל'
21,0,'מכללה'
21,0,'מלתחה'
22,0,'מדרכה'
22,0,'חליל'
22,0,'גבעה'
22,0,'שלט'
22,0,'כובע'
22,0,'קלסר'
22,0,'עציץ'
22,0,'ביצה'
22,0,'עגלה'
22,0,'מלתחה'
22,0,'דיג'
22,0,'מדבקה'
22,0,'מדשאה'
22,0,'שליח'
22,0,'דגן'
22,0,'מכללה'
22,0,'דגל'
22,0,'מכולת'
22,0,'מחק'
22,0,'שדכן'
22,1,'ארון'
22,0,'מקלדת'
22,0,'דפדפת'
22,0,'חמאה'
22,0,'שמפו'
22,0,'רמקול'
22,0,'בלון'
22,0,'תירס'
22,1,'מכתבה'
22,0,'כתר'
22,0,'כיסא'
22,1,'מכנס'
23,1,'ארון'
23,0,'דגן'
23,0,'רמקול'
23,0,'מלתחה'
23,0,'דפדפת'
23,0,'כובע'
23,0,'מדבקה'
23,0,'עציץ'
23,0,'מכללה'
23,0,'עגלה'
23,0,'שדכן'
23,0,'שליח'
23,0,'שלט'
23,0,'גבעה'
23,0,'מחק'
23,0,'חליל'
23,1,'קלסר'
23,0,'כתר'
23,0,'מכנס'
23,0,'מדשאה'
23,0,'בלון'
23,1,'מקלדת'
23,0,'חמאה'
